iteration	n_judges	removed	added
0	30	helpsteer2-complexity-judge	None
1	29	helpsteer2-verbosity-judge-framing-padding	None
2	28	helpsteer2-verbosity-judge-redundancy	None
3	27	helpsteer2-correctness-judge-requirement-coverage	None
4	26	helpsteer2-helpfulness-judge-relevance-to-intent	None
5	25	helpsteer2-verbosity-judge-structural-expansion	None
6	24	helpsteer2-correctness-judge-procedural-correctness	None
7	23	helpsteer2-verbosity-judge-extras-density	None
8	22	helpsteer2-complexity-judge-lexical-sophistication	None
9	21	helpsteer2-complexity-judge-formalism-and-references	None
10	20	helpsteer2-helpfulness-judge-organization-for-immediate-application	None
11	19	helpsteer2-coherence-judge	None
12	18	helpsteer2-correctness-judge-uncertainty-handling	None
13	17	helpsteer2-helpfulness-judge-context-tailoring-and-assumptions	None
14	16	helpsteer2-helpfulness-judge-actionability-and-specificity	None
15	15	helpsteer2-coherence-judge-structure-and-formatting-support	None
16	14	helpsteer2-complexity-judge-syntactic-complexity	None
17	13	helpsteer2-coherence-judge-internal-consistency	None
18	12	helpsteer2-coherence-judge-referential-clarity-and-terminology	None
19	11	helpsteer2-complexity-judge-assumed-knowledge	None
20	10	helpsteer2-correctness-judge-factual-accuracy	None
21	9	helpsteer2-verbosity-judge-minimal-overage	None
22	8	helpsteer2-helpfulness-judge-completeness-of-solution	None
23	7	helpsteer2-complexity-judge-terminology-density	None
24	6	helpsteer2-coherence-judge-concision-and-non-redundancy	None
25	5	None	None
